name;overview;number_of_episodes;number_of_seasons;poster_path;genres
Gilmore Girls: A Year in the Life;Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.;4;1;/tjMLN79jnFtnYyg4NBFGTNCqMhq.jpg;Drama Comedy
Justice League Action;Batman, Superman and Wonder Woman lead the DC Super Heroes against their most infamous foes.;52;1;/7BitEKENa2uiP48uOZHjY21Zi7L.jpg;Action & Adventure Animation Family Sci-Fi & Fantasy
My Million Dollar Invention;Behind many million-dollar inventions are priceless stories of inspiration, controversy, triumph, and tragedy. Explore inventions large and small, lifesaving and life-taking, scary and playful, and meet the men and women who dedicated, and often risked, their lives to follow their vision and ultimately change the world.;8;1;/nIWEhsGwLTNWyYI4PexEJqtV7wv.jpg;Documentary 
Leah Remini: Scientology and the Aftermath;Leah Remini, along with high level former Scientology executives and Church members, explores individual accounts from ex-Church members and their families through meetings and interviews with Leah. Each episode features stories from former members whose lives have been affected by the Church's harmful practices, even well after they left the organization.;35;3;/uMLztzfmIFAmmD2BHXVwWGxwfO2.jpg;Documentary 
Farmed and Dangerous;"Farmed and Dangerous is a four-part webisode comedy series from Chipotle Mexican Grill. This series is a satire of ""Big Ag"" and ""Big Food"" practices, featuring the fictional megacorporation Animoil feeding cows petropellets, which are made from petroleum directly rather than indirectly, from the corn and soybean that require so much petroleum products to grow (nitrogen fertilizer is made from the nitrogen present in the air and hydrogen present in natural gas from fracking).";4;1;/mPK1FPKJMP867rHaC4RxnSMCsLH.jpg;Crime Drama
The Deleted;When escapees from a mysterious cult start disappearing, the survivors are driven to find each other for protection. Damaged by their dark pasts and hunted by the cult leaders who followed them to Los Angeles, they'll do anything to be free.;8;1;/fQkls6iQW5fRttuYiyE88aCRZ55.jpg;Mystery Crime Drama 
Judge Dredd: Superfiend;Six-part web series that presents an alternate take on the origins of Judge Dredd's arch-nemesis - a demonic creature known as Judge Death that sees life itself as a crime. Can Dredd survive a clash with such foe and save his niece?;6;1;/8qi0GNUK1S16320nMtkKS2T5TTj.jpg;Animation Action & Adventure Crime Sci-Fi & Fantasy
White Rabbit Project;Kari Byron, Tory Belleci and Grant Imahara rank history's greatest inventions, heists and more.;10;1;/txLaCiFjR22danltfowUOgnTPjM.jpg;Reality 
12 Deadly Days;In the cursed town of Saturn, CA, during the 12 days leading up to Christmas, watch these interconnected tales showing the town's residents dealing will all kinds of evil.;12;1;/bgVW3TEAlT8lSwbJ66PWmDYiJvj.jpg;Comedy Sci-Fi & Fantasy
The 1980s: The Deadliest Decade;Investigation Discovery transports viewers on a bittersweet and terrifying journey back in time, revealing the dark side of America's favorite decade.;16;2;/nTVLBY6zM6HgE5T2AhBjvRjroZ1.jpg;Documentary 
WHIH Newsfront;WHIH Newsfront is a television program presented by Christine Everhart in the WHIH World News network, informing about major events from political, scientific, and entertainment news, in the Marvel Cinematic Universe.;10;2;/2RAbC1bwYvE3kYr6PdYFUo6vmO6.jpg;Sci-Fi & Fantasy News
Marvel's Agents of S.H.I.E.L.D.: Slingshot;"Elena ""Yo-Yo"" Rodriguez, an Inhuman with the ability to move at super-speed, is required to sign the Sokovia Accords. However, the restrictions of the Accords are in direct conflict with a personal mission she's desperate to fulfill, one that will test her abilities and will include tense encounters with S.H.I.E.L.D. team members.";6;1;/bwJej7WdmGRMCMyuDlotwAqVX7S.jpg;Sci-Fi & Fantasy Action & Adventure Drama 
Terry Crews Saves Christmas;Actor and former NFL star, Terry Crews, surprises families at Christmas time by providing them with some last-minute help during the holidays.;5;1;/z0BBrTKy7m0QizzSwKbPGtO5bCZ.jpg;Family 
The Good Fight;"Picking up one year after the events of the final broadcast episode of ""The Good Wife"", an enormous financial scam has destroyed the reputation of a young lawyer, Maia Rindell, while simultaneously wiping out her mentor and godmother Diane Lockhart's savings. Forced out of her law firm, now called ""Lockhart, Deckler, Gussman, Lee, Lyman, Gilbert, Lurie, Kagan, Tannebaum & Associates"", they join Lucca Quinn at one of Chicago's preeminent law firms.";60;6;/8qoOHOfbUbrCcHZnDVxGcwOWinV.jpg;Drama 
MythBusters: The Search;The search for an all-new generation of myth-busting science superstars with mind-blowing build skills and nerves of steel. Using social media and spectacular stunts, a cast of fearless hopefuls are judged on their skills as they compete in never-before-seen myth-busting challenges.;8;1;/usYmB5a78tdiohfbuaWp84VwzRx.jpg;Reality 
Noisey;A first-hand look into the cultures and artists behind some of the world’s most compelling music scenes.;16;2;/ynWAZ4YvMotBgVqypdbH2caQPmU.jpg;Documentary 
Criss Angel: Trick'd Up;This fast-paced, one hour special showcases the most mind-blowing magic ever performed. Criss Angel and “The Supernaturalists,” his hand-picked team of the of the world’s best magicians, leave the glitz of Vegas to go on a road trip to the heart of America, shocking unsuspecting bystanders and destroying the minds of celebrity guests. It’s the raw, in-your-face, insane magic that Criss Angel has pioneered. With more than 30 illusions, the TV special event is packed with more magic than any televised magic show, EVER! Guests appearances include: Gary Oldman, Paris Jackson, comedian Andrew Dice Clay, Miles Brown (Blackish), Latino Pop star Belinda, DJ Steve Aoki, UFC stars Frank Mir, Chuck Liddell, Randy Couture and Paige VanZant.;1;1;/lhHnvcme5m8UTym2sJfHlkiPOvO.jpg;Reality 
Chasing Cameron;Go behind the scenes with social media sensation Cameron Dallas as he takes his career to the next level on an international tour.;10;1;/zHzW4zoCPcqLRsfZstR36nyCtmU.jpg;Documentary Reality
Nazi Secret Files;Adolf Hitler is one of the world's most terrifying - and most studied - historical figures. Nazi Secret Files suggests that there is still much to know about this deadly dictator. Nazi Secret Filesis a thrilling, six-part series examining newly-discovered information about Hitler and those close to him during the Nazi reign - from exposing the huge drug program that fueled the Nazi war machine, to fresh evidence proving the Nazis were colluding with experts on germ warfare. An in-depth exploration on how an unremarkable drifter from Vienna instigated the most devastating military conflict in history, Nazi Secret Files reveals the incredible story of mass hysteria, bizarre beliefs, and dangerous delusions that ended with a religious war of devastating proportions.;6;1;/pxj9MBOVd4kxmRAR0ChNV2hQgzx.jpg;Documentary 
Paradise Run;Paradise Run puts teamwork to the test in a beautiful tropical setting. Each week, three teams of two compete in the ultimate vacation challenge!;70;3;/6gvgeuZ8d4OJebP3q3kfzGFmo2G.jpg;Reality Kids
Edgar Rice Burroughs' Tarzan and Jane;Saved from a plane crash and given supernatural powers, teen Tarzan joins forces with brave city girl Jane to protect his jungle home from threats.;13;2;/60IcVtP9l8tDjt9toY6Sfo5jZ25.jpg;Action & Adventure Animation
Storage Wars: Miami;Emotions run high within this feisty group of dynamic buyers who hope to find the kind of valuable and fascinating items that can make auctions run up to thousands of dollars. As they navigate the scene, these eager bidders must choose between two very different local auctioneers: Bob Nichols and Jerry Mahaffey.;10;1;/yGgAqFiQ2sf1rOaHhshu1kSfVv7.jpg;Reality 
Everest Rescue;Journeys to the tops of the treacherous Everest Himalayan Mountains, highlighting the work of a rare breed of pilots who put their lives on the line to save those facing certain death. Featuring exclusive access to a group of diverse helicopter pilots as they manage emergency calls during the climbing season as well as intimate interviews with them and their loved ones.;6;1;/w4dELbaXgcAzy6dMIujV0oesv0J.jpg;Reality Documentary
The Bold Type;A glimpse into the outrageous lives of Jane, Kat and Sutton, who are working at the nation's top women's magazine, Scarlet, while navigating their careers, identities and individual voices.;52;5;/cKloQpl6zE7kdFf8SUeYU2qPT9H.jpg;Comedy Drama
The Wheel;Ordinary people rely on their own skills to survive in six different South American landscapes, including the tundra, mountains and rain forest.;8;1;/NmF6zuY1FTwdfPrGdthOZPiWn.jpg;Reality Action & Adventure
Is O.J. Innocent? The Missing Evidence;After examining evidence both old and new, the team questions O.J.’s role in the crimes. Was he involved in these murders…or was another person was responsible? Dr. Henry Lee, a forensics expert from the original investigation, discusses the confounding details and problems with the preliminary evidence collection from the crime scene, and what impact that may have had on the trial.;6;1;/4vUWvYt8cDoe8EKvRnDvYB0t3UB.jpg;Crime Documentary
Jeff & Some Aliens;Based on the recurring TripTank sketches, Jeff And Some Aliens follows Jeff, the world’s most average guy, and the three aliens sent to study him to determine whether or not humanity should be destroyed. Jeff’s mundane life is constantly thrown into chaos by his extraterrestrial guests – it isn’t always easy having roommates who force you to participate in grueling intergalatic decathalons or perform Azurian honor killings to restore interstellar balance;10;1;/83CJOIOCg2u3NCldx1kuIe7yfhz.jpg;Animation 
Lost In The West;Two stepbrothers accidentally invent a time machine and are transported from the present day to 1885, where they come into conflict with the local mayor.;3;1;/8T0b1FcHPMwosmR6B4y2VIduWFi.jpg;Western Sci-Fi & Fantasy Comedy 
Ozark;A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.;44;4;/m73bD8VjibSKuTWg597GQVyVhSb.jpg;Crime Drama
Madiba;A dramatization of Nelson Mandela's struggle to overturn apartheid in South Africa.;3;1;/3XjnemYS6clej8VFZrxvrEqOX8Y.jpg;Drama 
Woman;At the intersection of violence and stability, of oppression and progress, are women. Gloria Steinem travels the world meeting those whose lives are in the crosshairs.;8;1;/dBjhGmOyyDRLOZKTWzKo1kG3fAE.jpg;Documentary 
Sun Records;The untold story of nothing less than the birth of rock ‘n’ roll. Guided by Sam Phillips, young musicians like Johnny Cash, Elvis Presley, Carl Perkins and Jerry Lee Lewis combined the styles of hillbilly country with the 1950s R&B sound created by artists like Muddy Waters, B.B. King, Fats Domino and Ike Turner, and changed the course of music forever.;8;1;/qPNhnfrfEg4l5NJa59zRW7OLMQm.jpg;Drama 
Friday Night Tykes: Steel Country;Western Pennsylvania, home of football legends. Follow six teams in the Beaver County Youth Football League in what was once the backbone of industrial America, where jobs have vanished, the bridges that connect communities rusted over, but everyone is still drawn together by a great tradition... football.;20;2;/x6C1uByT4eebArp1TixeyAGoTci.jpg;Reality 
Rapunzel's Tangled Adventure;Set between “Tangled” and “Tangled Ever After,” this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona.;59;3;/s12Z2uGrvjj5sA7LsBStTtfTYjC.jpg;Kids Animation
Abstract: The Art of Design;Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.;14;2;/wuaELHfbwiDB12rFuInWPUWToDv.jpg;Documentary 
Queens;The story of the rivalry that existed between two great European monarchs: Mary Stuart of Scotland and Elizabeth I of England. They fought for supremacy in the political, religious and personal realms, under the attentive eyes of the most feared monarch in Europe, Philip II.;6;1;/61NQsD3acE8tdvAROLyUjvbcONN.jpg;Drama 
Too Old to Die Young;Detective Martin Jones, who leads a double life as a killer for hire in Los Angeles' deadly underground, suffers an existential crisis which leads him deeper into a blood splattered world of violence.;10;1;/xGBwXf02Mu2zzqxh6TomLC7xfk7.jpg;Crime Drama
Monsters Among Us;Monsters. Ghosts. Zombies. From horror movies to Halloween, we see the creatures that go bump in the night everywhere, but where did they come from?;7;1;/1dg6FteLql3EvvZx1yBKJUCiTP3.jpg;Documentary 
Africa's Great Civilizations;Henry Louis Gates Jr. takes a look at the history of Africa, from the birth of humankind to the dawn of the 20th century. A breathtaking and personal journey through two hundred thousand years of history, from the origins, on the African continent, of art, writing and civilization itself, through the millennia in which Africa and Africans shaped not only their own rich civilizations, but also the wider world.;6;1;/m7qhNuL4lICMnpVshnNaobnG7Oa.jpg;Documentary 
The White Princess;The story of Elizabeth of York, the White Queen's daughter, and her marriage to the Lancaster victor, Henry VII. Based on the Philippa Gregory book of the same name.;8;1;/8urYFWrEd8ue94Fm4JpHccQg3M7.jpg;Drama 
For Peete's Sake;Follows the lives 21 Jump Street star Holly Robinson Peete and former NFL quarterback and co-host of Fox Sports' The Best Damn Sports Show Period Rodney Peete, balancing their very public careers with their four kids and wild and crazy mom, Dolores.;14;2;/2nSX6nVV86zxrWNtpUA1oWIz5sL.jpg;Reality 
Origins: The Journey of Humankind;Hosted by Jason Silva, Origins: The Journey of Humankind rewinds all the way back to the beginning and traces the innovations that made us modern.;8;1;/mJ5mJS7mCHhBsmYCrNB8lSMrwak.jpg;Documentary 
Somewhere Between;Laura Price, a local news producer in San Francisco, is helping the police to hunt down a serial killer. After the killer strikes close to home, a twist of fate allows a “Groundhog Day”-type reset, and Laura relives the week prior to the string of murders. Can she change fate and stop the killer?;10;1;/seXbYwMR9fNqEYwaPPvPReZGiJQ.jpg;Crime Drama
Sharp Objects;Reporter Camille Preaker confronts the psychological demons from her past when she returns to her hometown to investigate the murders of two young girls.;8;1;/1SGovj2qDdkJexvhFiXllj9EYfu.jpg;Crime Drama Mystery 
Navy SEALs: America's Secret Warriors;An in-depth look at the elite fighting force, including the physical, psychological and spiritual process of becoming a SEAL, the training required to become a member of SEAL Team 6 and a history of spectacular SEAL missions.;8;2;/77mTcRSU1li2tVrr5gR46LpbFML.jpg;Documentary 
Mr. Mercedes;A demented serial killer taunts a retired police detective with a series of lurid letters and emails, forcing the ex-cop to undertake a private, and potentially felonious, crusade to bring the killer to justice before he can strike again. Based on the bestselling novel by Stephen King.;30;3;/t6W0Puy5MYi4EKOWO7lWGLcfU9s.jpg;Mystery Sci-Fi & Fantasy Drama 
American Playboy: The Hugh Hefner Story;A fascinating docuseries chronicling Playboy magazine’s charismatic founder, Hugh Hefner, and his impact on global culture. Told from his unique perspective with never-before-seen footage from his private archive, discover the captivating story about the man behind the bunny.;10;1;/y4SnAInc7QqEHn95ENMnoWNS12T.jpg;Documentary Drama
Time: The Kalief Browder Story;The story of a teenager wrongfully charged with theft and jailed at Riker's Island prison for over 1,000 days.;6;1;/2uJWtcLq231IkwwiUonS7QhZtMk.jpg;Documentary 
Five Came Back;The extraordinary story of how Hollywood changed World War II – and how World War II changed Hollywood, through the interwoven experiences of five legendary filmmakers who went to war to serve their country and bring the truth to the American people: John Ford, William Wyler, John Huston, Frank Capra, and George Stevens. Based on Mark Harris’ best-selling book, “Five Came Back: A Story of Hollywood and the Second World War.”;3;1;/lQI1J0MvFmB6pREOyyBaAQpuSAE.jpg;Documentary War & Politics
Shrink;After being rejected from every medical residency program on his list, Dr. David Tracy scrambles to perform 1750 hours of clinical therapy out of his garage to become a licensed therapist before his $500,000 activate and destroy his life.;8;1;/cZpc16zX27j2crsRInJ5YynJOjm.jpg;Comedy 
Andi Mack;Andi is contemplative and artistic and sheltered by overprotective parents. But on the eve of her 13th birthday, Andi's free-spirited older sister Bex returns home with a revelation that changes everything and sends Andi on an uncharted course of self-discovery.;57;3;/wP0zaZVBNhZIoHgnZfv86rM0YUh.jpg;Comedy Family Drama 
Parched;Documentary series investigating water wars from West Virginia and Michigan to Syria and India including the corporate, political and social interests that are responsible for our water-limited future.;4;1;/4anHsOn38fUkX3PsB9h2x1obFDb.jpg;Documentary 
Dimension 404;Inspired by the Internet’s “404” error code, Dimension 404 aims to evoke that 3 AM feeling of wandering onto the weird side of the web, stumbling upon stories that cannot be explained in the world that we know.;6;1;/ucGY75ZJHrgY40ym7kXy7sRp7Vy.jpg;Sci-Fi & Fantasy 
Ghost Brothers;Ghost Brothers, is a trio of friends exploring the paranormal with a dash of comedy.;15;2;/cyMoRYUGfymWcMNUIPXDGT6GzkL.jpg;Documentary Mystery Reality 
The Looming Tower;While Osama bin Laden and Al-Qaeda become a global threat, the rivalry between the CIA and FBI inadvertently sets the stage for the tragedy of 9/11 and the Iraq War.;10;1;/tfnHCDJISHE44lLD0H3kn0lTs64.jpg;War & Politics Drama
Dear White People;At a predominantly white Ivy League college, a diverse group of students navigate various forms of racial and other types of discrimination.;40;4;/thHk9AncE8g2Hsb1iK1xHnlq23j.jpg;Comedy Drama
Marvel's Rocket & Groot;Before becoming Guardians of the Galaxy, Rocket and Groot were bounty hunters trying to get a ship.;12;1;/7FHJr40MPFwtHrOyOD9buQDoVcs.jpg;Kids Animation Action & Adventure Sci-Fi & Fantasy Comedy 
The Neistat Brothers;Following Casey and Van Neistat, The Neistat Brothers is a autobiographical documentary following the lives and adventures of the two brothers. The series follows their travels around the world and New York as they tell their stories about six week chunks of their lives in their signature vlog-like style;8;1;/gy9zPfeE3rB2I6mDSZ5nk64V4et.jpg;Documentary 
Jungletown;In the depths of the Panamanian jungle an American entrepreneur and hundreds of young people are building the “world's most sustainable modern town.”;10;1;/nhSuOdJPDb65fjO0hRX29LKPuWz.jpg;Documentary Reality
Dave Chappelle;Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.;2;1;/pdvfW9xWAqLFd0wdzdAogjmM9Pc.jpg;Comedy 
The Next Steps;"First comes love. Then comes...something. ""The Next Steps"" follows the relationship of the unmarried couple of Chris and Beth as they face the ups and downs of a long term relationship, stuck in a rut.";22;2;/k7ZqYiqAGIvNFR0XLzCDHUFKHP4.jpg;Comedy 
Brockmire;A famed major league baseball announcer who suffers an embarrassing and very public meltdown live on the air after discovering his beloved wife's serial infidelity decides to reclaim his career and love life in a small town a decade later.;32;4;/5qt3pvbEqIhCI2pBCAPES0v8zP3.jpg;Comedy Drama
Decline and Fall;Paul Pennyfeather is an inoffensive divinity student at Oxford University in the 1920s who is wrongly dismissed for indecent exposure having been made the victim of a prank by The Bollinger Club.;3;1;/tiliis98HX2Fd2fMubKrEeqogNn.jpg;Comedy 
The Kennedys: After Camelot;Picking up where the Emmy-winning miniseries The Kennedys left off, The Kennedys – After Camelot provides a fascinating look into the modern era of America’s royal family. Based on the best-selling book of the same name by J. Randy Taraborrelli.;2;1;/3Kmb5l5NPhvpJcHg1NypLnPYver.jpg;Drama 
Castlevania;A dark medieval fantasy following the last surviving member of the disgraced Belmont clan, trying to save Eastern Europe from extinction at the hand of Vlad Dracula Tepe himself. Inspired by the classic video game series.;32;4;/ubDtIBwdS9b29sBofAkqWz3PqkT.jpg;Animation Sci-Fi & Fantasy
Confess;Auburn Reed is determined to put her challenging past behind her and get her future on track. Now in her mid-twenties and struggling to fund her custody battle for her only son, she stumbles upon the art studio of the talented and charming artist, Owen Gentry. The two wrestle with their developing romance and the secrets they're both keeping until they realize they may risk their future if they don't reveal their pasts to each other.;7;1;/m5psqewGIoGbL9iekrZruFdIHWu.jpg;Drama 
Casey Anthony: An American Murder Mystery;An examination of the Casey Anthony case. The 22-year-old Florida woman was accused of the murder of her 2-year-old daughter, Caylee. At trial, she was convicted of four lesser charges of providing false information to a police officer, but found not guilty of murder, child abuse and manslaughter.;3;1;/BPwAlIL2IrWaq2B9NWm4OMd9hJ.jpg;Documentary Crime
Scene of the Crime with Tony Harris;Investigative filmmaker Tony Harris ventures deep into small-town America to pull back the curtain on the often-nefarious players and foreboding places at the center of crimes that happened there.;12;2;/tx3PKIAlSMocMwBm1E9yjYSBu9y.jpg;Crime Documentary
Hollywood Darlings;In this improvised comedy, the three former child stars - Jodie Sweetin, Christine Lakin, and Beverley Mitchell - play exaggerated versions of themselves in their current Hollywood lives. With the support of one another, this girl squad can take on anything when it comes to parenting, marriage, friendship and revived careers in Hollywood.;16;2;/dDCIT6VXlKgO1uPTzC000pY5x7A.jpg;Comedy Reality
Claws;Follow the life and crimes of five diverse and treacherous manicurists working at the Nail Artisan of Manatee County salon, where there is a lot more going on than silk wraps and pedicures.;40;4;/3XtQTSWYpmv9NpC9MJt96nJ9fbf.jpg;Comedy Drama
Workaholics: The Other Cubicle;Based on comedy series Workaholics, this series puts the spotlight on the recurring cast from the original show. Keep up with Montez, Jet Set and Waymond in The Other Cubicle.;6;1;/aQDv6fBh77AFMsicn2lTNvxFZTz.jpg;Comedy 
The Crossing;Refugees from a war-torn country start showing up to seek asylum in an American town. Only the country these people are from is America and the war they are fleeing is 250 years in the future. The local sheriff with a past, a federal agent and a mother in search of her missing refugee daughter drive this allegory with a surprising conspiracy at the center.;11;1;/cvoSPs6We2u88mXz2vSqjbd4kQ0.jpg;Sci-Fi & Fantasy Action & Adventure
Star Wars: Forces of Destiny;An animated micro-series starring Rey, Jyn Erso, Princess Leia, Ahsoka Tano, and more. Small moments and everyday decisions shape a larger heroic saga.;32;2;/a5d2y264VgYUvpKUNNT6EbL1Cwb.jpg;Sci-Fi & Fantasy Animation Action & Adventure Family
Life of Kylie;Kylie Jenner welcomes viewers to her unfiltered world of fame, fortune, relationships and empire.;8;1;/h4NhWMBshGxp11m9uYob4KJU81y.jpg;Reality 
Beerland;Follow Golden Road Brewing founder, Meg Gill, as she sets out on a cross-country journey to meet with home-brewers and find the best brews in each city she travels to.;17;3;/xvxjqOw07AR8Puh7mow8nhSLs0Q.jpg;Documentary 
Truth & Iliza;Comic Iliza Shlesinger hosts this late-night talk show that features episodes that revolve around particular themes, in the form of a question that Iliza tries to answer. She uses audience interaction, field pieces, commentary and -- what she's best known for -- jokes to help her find the answers she seeks. The weekly series focuses on discussing the sociopolitical issues of the day, whether they involve necessary discussions or more inane topics.;6;1;/j2djxHhiksEaBydnEnTL2xKlrIr.jpg;Reality Talk
Docked Out;Jason and his team work double time to complete a 2,400 square-foot split-level entertaining dock, equipped with water slide, kitchen, dining area, and double boat slip within a six week deadline.;10;1;/c5mPEZPzXqwweRgM87gm1pGgeT1.jpg;Reality 
The Putin Interviews;A revealing series of interviews between renowned filmmaker Oliver Stone and Vladimir Putin in which the Russian President speaks candidly on the US Election, Trump, Syria, Snowden and more.;4;1;/yma0LTSgV9ygjbubvAQviZGpdtc.jpg;Documentary War & Politics
Atypical;Sam, an 18-year-old on the autism spectrum, takes a funny, yet painful, journey of self-discovery for love and independence and upends his family.;38;4;/iZ10Q7bEBP5bYD8DpKIbsRxdpeC.jpg;Drama Comedy
Black Lightning;Jefferson Pierce is a man wrestling with a secret. As the father of two daughters and principal of a charter high school that also serves as a safe haven for young people in a New Orleans neighborhood overrun by gang violence, he is a hero to his community.;58;4;/h1xbvvO6oqchfLe6xh0yLNnQxeM.jpg;Action & Adventure Sci-Fi & Fantasy Drama 
Snowfall;Los Angeles. 1983. A storm is coming and its name is crack. Set against the infancy of the crack cocaine epidemic and its ultimate radical impact on the culture as we know it, the story follows numerous characters on a violent collision course.;60;6;/h8VkLwctoqK1f1wergrfz3Mmj3a.jpg;Drama Crime
Spirit: Riding Free;In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.;52;8;/jRJYUWTH1qyTL0us4dix6wasN0A.jpg;Kids Animation
Digits;Vint Cerf, Steve Case, and Ed Snowden -- internet insiders reveal its hidden past and startling present.;3;1;/8c6h7lgdAj3XVyeXmVKeOOXX0OX.jpg;Documentary 
America's Secret Space Heroes;The inside stories of how the unknown engineers of NASA created such superior machines as the Saturn V moon rocket, the Space Shuttle, and the Hubble Space Telescope, often against incredible odds.;6;1;/zdjI8nT3JJGG8NL7XYDZmtfC7tq.jpg;Documentary 
Year Million;Explore what it will be like to be human one million years into the future. Today’s brightest futurists, scientists, scholars and notable science fiction writers guide viewers through the very latest advances in technology, ideas and innovations that likely will power the evolution of our species.;6;1;/b2NeEZindaZ7tC1kRgAhNen7IJs.jpg;Drama Documentary Sci-Fi & Fantasy 
The Challenge: Champs vs. Pros;A special event spun off from MTV's long-running reality game show, The Challenge. In the six-week event, ten Challenge greats will compete against ten professional athletes.;6;1;/tDDqXsNKiH9j7CaOvk480JQSjAl.jpg;Reality 
The Alienist;New York, 1896. Police commissioner Theodore Roosevelt brings together criminal psychologist Dr. Laszlo Kreizler, newspaper illustrator John Moore and secretary Sara Howard to investigate several murders of male prostitutes.;18;2;/1qzuS7b2XjiVcWwmDkOyE5hIxUM.jpg;Drama Crime Mystery 
America: Promised Land;The epic history behind the creation of America, exploring how and why our ancestors came to this country. \n\nExamine the massive immigration patterns of ethnic groups to the United States through the telling of historical events including the Dutch Fur Trade, the Great Potato Famine, the California Gold Rush and more.;2;1;/qzHKxFKYmWuOcU74pOefgLVQ3OU.jpg;Documentary 
American Boyband;Kevin Abstract wants to be a pop star. Along with his self-proclaimed boy band “Brockhampton” he is on a mission to translate his faithful online following into real world success.;8;1;/ArmRtLleshKou9nafRXdREFLQqn.jpg;Reality 
Long Strange Trip;The long and unique tale of The Grateful Dead.The tale of the Grateful Dead is inspiring, complicated, and downright messy. A tribe of contrarians, they made art out of open-ended chaos and inadvertently achieved success on their own terms. Never-before-seen footage and interviews offer this unprecedented and unvarnished look at the life of the Dead.;6;1;/agwvFwYICSXshc3uRLO9PIQX5UI.jpg;Documentary 
All Hail King Julien: Exiled;Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom.;13;1;/woKlR4y3QqCZUnGtpxFf3sBuDPe.jpg;Animation Comedy
Get Shorty;Miles Daly works as muscle for a murderous crime ring in Nevada and attempts to change professions and become a movie producer, laundering money through a Hollywood film with the help of washed-up filmmaker Rick Moreweather.  Based on Elmore Leonard’s 1990 New York Times bestselling novel.;27;3;/ism3TUNdIl5MpQR6E8ApjE89LQy.jpg;Crime Comedy
Danger & Eggs;Follows the endless adventures of a fearless, teal-haired girl named D.D. Danger and her ever cautious best friend, a giant talking egg named Phillip. Together, join this buddy system as they explore an underground laboratory, meet a tech-savvy raccoon, and find moments of heart in the smallest bite of broccoli.;25;1;/3ZugH9DMsxLzhdp81cXLCziQgVq.jpg;Family Animation Kids 
The Three Stooges: Hey Moe! Hey Dad!;Celebrate a century of Stoogery with this long-anticipated collection that will smack you over the head with private home movies, family photographs, and classic clips of their Columbia shorts. From their Vaudeville days, through the Great Depression, two world wars, and decades of classic side-splitting shorts, this is the inside, intimate story of Hollywood’s most beloved group of knuckleheads.\n\nThe complete OFFICIAL story of The Three Stooges. Packed with Columbia shorts and unseen family footage.;24;1;/2s0mOdJMfIgzgn8Q9HvWHptgCKi.jpg;Documentary 
Le Mans: Racing is Everything;The 24 Hours of Le Mans is a motor race like no other. Taking place in France each year, it is an endurance test for drivers and cars that literally takes 24 hours to complete. Traveling from Kuala Lumpur to the Côte D’Azur, shot in breathtaking 4K and with unprecedented access to six of the teams competing for glory, Le Mans: Racing is Everything is motorsport as you’ve never seen it before.;6;1;/alQb62BMk4UkkPWNGugRAmi7roM.jpg;Documentary 
Decker;The free world is in danger, and only one man can help. Jack Decker has sworn to defend America from foreign terrorists regardless of which spineless president is in charge. This is Decker: The Series.;47;6;/kYGzp7bQEeUhqOwml09uyWDJSK6.jpg;Comedy 
Escape at Dannemora;The stranger-than-fiction account of a prison break in upstate New York in the summer of 2015, which spawned a massive manhunt for two convicted murderers who were aided in their escape by a married female prison employee with whom they both became sexually entangled.;7;1;/odk6ccUtUJlGTzPApKS6s4CTTrK.jpg;Drama 
The Defiant Ones;A four-part documentary series that tells the stories of Jimmy Iovine and Dr. Dre -- one the son of a Brooklyn longshoreman, the other straight out of Compton - -- and their improbable partnership and surprising leading roles in a series of transformative events in contemporary culture.;4;1;/38JFkjD3SZvbDKvgDEXPUXbK5d0.jpg;Documentary 
Hyperlinked;McKenzie, Mariangeli, Tati, Jenna, and Lexi star in Hyperlinked it's follows the girls as they create their own website for girls, featuring fun games, epic videos, relatable advice and more, while also handing everyday issues.;10;1;/joG9Xr4QuHIeY3Yc9jbiYWNtM1Q.jpg;Family Kids
The Gong Show;Unique performers demonstrate their artistry in front of Hollywood judges in this update of the kitschy '70s talent show, which features the worst performances being cut short by bangs on the titular gong.;17;2;/61L3YhmBjwZW39tZEwhHxiCb3Og.jpg;Comedy 
DuckTales;The adventures of billionaire Scrooge McDuck and his nephews Huey, Dewey and Louie, their famous uncle Donald Duck, pilot extraordinaire Launchpad, Mrs. Beakly, Webby and Roboduck. Adventures and hidden treasures are everywhere, in their hometown Duckburg and all around the world.;69;3;/mBXPGrYd9wEzk7jpi5GkZJNDzZf.jpg;Family Comedy Animation 
Great Yellowstone Thaw;Journey with Kirk Johnson to Yellowstone, where wolves, grizzlies, beavers and Great Gray owls survive one of the greatest seasonal changes on the planet. As the temperature swings 140 degrees, cameras capture how the animals cope.;3;1;/bLF8skfku7MhAWFQAuXfL1nKvFo.jpg;Documentary 
